지역,측정소명,측정일시,SO2,CO,O3,NO2,PM10
서울,강남구,2014100118,0.004,0.3,0.022,0.042,39
서울,강동구,2014100118,0.003,0.4,0.025,0.028,43
서울,강북구,2014100118,0.004,0.3,0.021,0.035,46
서울,강서구,2014100118,-999,-999,-999,-999,26
서울,관악구,2014100118,0.005,0.5,0.035,0.023,45
서울,광진구,2014100118,0.004,0.4,0.019,0.04,45
서울,구로구,2014100118,0.005,0.4,0.032,0.02,36
서울,금천구,2014100118,0.005,0.3,0.043,0.024,31
서울,노원구,2014100118,0.005,0.3,0.024,0.035,44
서울,도봉구,2014100118,0.007,0.4,0.024,0.04,42
서울,동대문구,2014100118,0.003,0.4,0.041,0.029,37
서울,동작구,2014100118,0.006,0.3,0.046,0.022,40
서울,마포구,2014100118,0.005,0.4,0.037,0.028,42
서울,서대문구,2014100118,0.005,0.5,0.043,0.04,43
서울,서초구,2014100118,0.004,0.4,0.037,0.023,41
서울,성동구,2014100118,-999,0.4,0.019,0.035,37
서울,성북구,2014100118,0.003,0.4,0.025,0.035,42
서울,송파구,2014100118,0.003,0.5,0.03,0.024,32
서울,양천구,2014100118,0.005,0.3,0.04,0.024,24
서울,영등포구,2014100118,0.005,0.5,0.047,0.022,36
서울,용산구,2014100118,0.005,0.5,0.03,0.043,44
서울,은평구,2014100118,0.004,0.6,0.037,0.036,43
서울,종로구,2014100118,0.006,0.4,0.031,0.039,39
서울,중구,2014100118,0.004,0.4,0.039,-999,40
서울,중랑구,2014100118,0.005,0.4,0.02,0.04,52
서울,강남구,2014100119,0.005,0.4,0.03,0.036,36
서울,강동구,2014100119,0.004,0.4,0.018,0.035,41
서울,강북구,2014100119,0.004,0.3,0.015,0.037,37
서울,강서구,2014100119,0.006,0.5,0.023,0.031,34
서울,관악구,2014100119,0.005,0.5,0.031,0.026,46
서울,광진구,2014100119,0.004,0.4,0.012,0.048,43
서울,구로구,2014100119,0.005,0.4,0.027,0.024,39
서울,금천구,2014100119,0.005,0.4,0.034,0.031,39
서울,노원구,2014100119,0.004,0.3,0.018,0.039,42
서울,도봉구,2014100119,0.005,0.4,0.019,0.037,35
서울,동대문구,2014100119,0.003,0.5,0.033,0.032,39
